First Name,Last Name,Avg Difficulty,Avg Rating,Department,Comment,Difficulty Rating,Grade,Clarity Rating,Rating Tags
Adrienne,Jarabek,3,5,Law,Very knowledgeable and makes herself available to students. Also very tactful.,3,Rather not say,5,Gives good feedback--Inspirational--Caring
Of,Ford,3.7,2.3,Liberal Arts,lectures were a nightmare,2,B+,1,Beware of pop quizzes--Lecture heavy
Of,Ford,3.7,2.3,Liberal Arts,"Overall the professor is good, but you cannot miss any lectures. The slides are messy and do not contain any helpful information. You will be quizzed on the information he mentions super quickly only once. The quizzes are super random. It doesn't seem that he has any structure during his lectures. Discussed politics for the whole class once. ",4,A-,3,Lecture heavy--Test heavy
Of,Ford,3.7,2.3,Liberal Arts,"The course is hard because there is so much content (Survey of global history) and his slides could be better, but he is a good professor; very knowledgeable, enjoyable to listen to, and wants you to succeed.  Go to the review sessions and study before the tests. ",4,B+,4,Participation matters--Respected--Lecture heavy
Of,Ford,3.7,2.3,Liberal Arts,"Hard to take notes from as his powerpoints tend to not have any bullets or notes on it and lectures are not recorded online so it's an inconvenience if you miss class, especially considering that all the tests are based solely on the smallest things he says in the lecture. However, there's a heavy curve making it easier to get a good grade.",2,A,3,Lecture heavy--Test heavy
Of,Ford,3.7,2.3,Liberal Arts,"   The tests are like trivia games that pick random small things he said from lectures that you probably missed or couldn't write down because he was rambling so fast. Messy lectures. No study guide. However, the test is curved very heavily. Not too hard to get a decent grade but incredibly stressful as every test is a big guessing game. ",4,A,2,Lecture heavy--Test heavy--Graded by few things
Of,Ford,3.7,2.3,Liberal Arts,"The course is graded on tests which cover lecture material, which is purely verbal with no slideshows, no transcripts. Hard to hear at points, talks fast. The lectures content is hard to follow and jumps frequently. Incorrectly presented some history (Opium Wars). The tests were strange in topics picked, trivia like. Professor quite rude at times.",5,A+,1,Lecture heavy--Test heavy--Graded by few things
Of,Ford,3.7,2.3,Liberal Arts,"He speaks very fast in class and the lectures are not recorded. If you miss anything he says, you are done for because he doesnt upload any notes or lecture content. If you want to get good grades, you will have to type like a maniac and listen to each and every word he says. The saving grace is that all tests are curved well.",4,A,2,Lecture heavy--Test heavy--Graded by few things
Of,Ford,3.7,2.3,Liberal Arts,"His lectures are just him rambling with no clear emphasis on what is important. Slides show no information outside of pronunciations and maps. He also provides no study material, so it is impossible to predict what material will be tested.",5,B,1,Lecture heavy--Test heavy
Of,Ford,3.7,2.3,Liberal Arts,"Hes a pretty chil guy, but crams a lot of info in each lecture. attendance is not mandatory, but you're cooked if you dont pay attention to every second. every test and exam is curved, which is amazing.",3,A,4,Hilarious--Lecture heavy--Test heavy
Maria,Thiaw,1.7,3.2,Communication,She is energetic and nice.,2,A-,4,
Maria,Thiaw,1.7,3.2,Communication,Very good teacher. She is scatter brained but as long as everyone acts nicely she's good. It was spring so we went outside a lot. Sometimes she would forget assigments and she let in late work sometimes. Overall i would take another class with her.,1,,3,
Maria,Thiaw,1.7,3.2,Communication,"This professor is quite easy, but is very scatter-brained.  She expects students to do things that she is not willing to do.  On occasions, the professor is rude to the entire class.",2,,2,
Adolphine,Aggor-Boateng,3,2,Anthropology,She is a good professor and easy to understand. She is very passionate about what she teaches. There are many students who skip or don't read the text book so they complain but I did all the readings and went to 95% of the classes and got an A+. She is not for people who expect good grades but don't do the work.,3,A+,4,Gives good feedback--Get ready to read--Skip class? You won't pass.
Adolphine,Aggor-Boateng,3,2,Anthropology,"She is the worst prof I have ever had. Obviously, she lacks communication skills, does a very poor job in teaching the material, and is not polite talking to the students at all. I will never recommend her to any of my classmates.",3,,1,
Adolphine,Aggor-Boateng,3,2,Anthropology,"Used useless youtube videos that were made by highschool students to highlight unrelated and unimportant points about teh topic for the day. Digresses to unrelated topics and rants and yells about pointless information. Tries to tie concepts to canada, where the information does not tie (african hunter gatherer tribes). overall, classes are boring.",3,,1,
Adam,Kaszuba,3,4.7,Education,An excellent and inspiring professor. His course is genuinely worth attending.,3,,5,Amazing lectures --Gives good feedback--Inspirational
Adam,Kaszuba,3,4.7,Education,"Excellent professor overall. Being a new Prof there are some minor bugs to work out but the class was excellent. He has a very innovative approach to teaching, and really tries to make the class interesting. Good articles and selects very interesting guest speakers. If you're preparing to be a french teacher, he's a great person to learn from! ",3,A-,5,
Adam,Kaszuba,3,4.7,Education,"Adam is a kind and caring prof. He is currently doing his PHD. He does assign a LOT of readings so be ready to read at least one article per week. There is a ton of group work. He is open to hearing feedback so let him know if something is outrageous that he asks of you. 7 small group projects, midterm, final portfolio.",3,A+,4,Get ready to read--Group projects--Caring
Aashi,Dalal,2,4.9,Mathematics,"She is an absolutely outstanding teacher! Her courses are always meticulously prepared and the content is very comprehensive. She explained each problem very clearly and she give us quizzes which cover fundamental and important concepts and theorems. Each quiz and homework is graded with great care, and she provides very detailed feedback.",3,Rather not say,5,Gives good feedback--Inspirational--Caring
Aashi,Dalal,2,4.9,Mathematics,Awesome TA! Her recitations were super helpful in preparing me for the PhD preliminary exam.,3,Not sure yet,5,Amazing lectures --Gives good feedback
Aashi,Dalal,2,4.9,Mathematics,"The motivation behind examples and in-class problems is clear, and they relate well to materials learned in class.",3,B,4,Participation matters--Clear grading criteria--Gives good feedback
Aashi,Dalal,2,4.9,Mathematics,"I had Professor Dalal as a TA for my business calculus class this semester. Whenever we go over examples during class, she always asks if we have doubts and is willing to help when we do. She is also always available after class for extra help, even though those are not her assigned office hours. I would recommend having her as a TA. ",2,,5,Gives good feedback--Caring--Accessible outside class
Aashi,Dalal,2,4.9,Mathematics,"Aashi was a great TA for my recitation for Business Calculus. She provided review sessions before the final and major exams and provided practice tests for all of our exams. She was always willing to explain something again in the recitation as well as providing office hour help every week for anyone to drop in. Helped me a lot, highly recommend!",3,Not sure yet,5,Gives good feedback--Caring--Accessible outside class
Aashi,Dalal,2,4.9,Mathematics,"I took Business Calc with Professor Dalal, and she was very helpful in helping me understand the material. She had several office hour opportunities throughout the week, she even offered to help me outside of office hours once. She is accommodating and very kind and she understands the stress of being a student. ",1,A-,5,Clear grading criteria--Caring--Accessible outside class
Aashi,Dalal,2,4.9,Mathematics,"Aashi did a great job of both going over all of the material while also having an extra day before exams to review all of the topics covered so we would be prepared for it. In the future, I am fairly confident that I will be prepared to answer questions with differential equations in future physics or electrical engineering classes.",3,Not sure yet,5,Gives good feedback--Lecture heavy
Aashi,Dalal,2,4.9,Mathematics,Awesome Professor,2,B,5,Caring--Lecture heavy--Accessible outside class
Aashi,Dalal,2,4.9,Mathematics,"This professor cares about her students and the material. Each lecture captures the chapters material without being bogged down by textbook lingo and theorems. She managed to keep the material light and easily digestible, while also providing a deep understanding of the topics.",3,A,5,Gives good feedback--Caring--Accessible outside class
Aashi,Dalal,2,4.9,Mathematics,Professor Dalal was a great professor! She took the time to explain any questions that were asked and was able to respond quickly to any questions that were asked outside of class. I recommend taking a class with professor Dalal!,2,A,5,Clear grading criteria--Caring--Respected
Aashi,Dalal,2,4.9,Mathematics,"great professor, very accommodating to drs services, show up to class and you will get a good grade. would HIGHLY recommend",2,A-,5,Hilarious--Caring--Accessible outside class
Aashi,Dalal,2,4.9,Mathematics,Professor Dalal was an awesome professor! Her lectures and the assigned homework went really well together. She had fair exams and was genuinely concerned about everyone's understanding.,1,A,5,Caring--Accessible outside class
Aashi,Dalal,2,4.9,Mathematics,"Professor Dalal is a very fair and caring professor. Her exams are very similar to the homeworks, she is always very helpful in office hours and will likely allow you to do exam corrections by demonstrating to her that you understand your errors. Be sure to show up to class, there are not usually recorded lectures and attendance is mandatory.",2,A,5,Caring--Graded by few things--Accessible outside class
Aashi,Dalal,2,4.9,Mathematics,"The recitations weren't mandatory, but they were very helpful for the quizzes and tests. Although she teaches at a very fast pace, she'll go back and explains things if you ask. During lon capa review sessions, she is very helpful with explaining how to do problems.",3,,4,Gives good feedback--Accessible outside class
Aashi,Dalal,2,4.9,Mathematics,"She is a pretty good TA. She will go over anything that you ask her, and she helps you out on HW a lot. If you need help with anything, just go to recitation or her office hours. She also hosted a review session for the final on a Saturday, which is pretty considerate of her. ",1,,5,
Aashi,Dalal,2,4.9,Mathematics,Very helpful and good professor ,1,,5,Gives good feedback
Aashi,Dalal,2,4.9,Mathematics,"I had her as a TA for calculus 3 and she was probably the only reason why I was able to pass the class. She is super helpful and always to the point which is something I really appreciate. She keeps things honest and definitely puts in the work to help her students. Not only this, she's easy to talk to and a great person all around.",2,,5,Gives good feedback--Caring--Accessible outside class
